2014,CWE-79,12
2015,CWE-200,2
2015,CWE-79,6
2016,CWE-134,1
2016,CWE-200,2
2016,CWE-254,4
2016,CWE-264,3
2016,CWE-284,2
2016,CWE-77,2
2016,CWE-79,7
2016,CWE-798,6
2017,CWE-119,3
2017,CWE-125,13
2017,CWE-601,12
2017,CWE-787,13
2017,CWE-79,3
2017,CWE-93,1
2018,CWE-113,2
2018,CWE-134,2
2018,CWE-185,9
2018,CWE-20,6
2018,CWE-200,16
2018,CWE-22,4
2018,CWE-254,3
2018,CWE-287,4
2018,CWE-399,1
2018,CWE-400,4
2018,CWE-471,1
2018,CWE-601,8
2018,CWE-770,1
2018,CWE-78,9
2018,CWE-79,13
2018,CWE-863,2
2018,CWE-918,4
2018,NVD-CWE-noinfo,1
